tmdb_id,tmdb_title,release_date,runtime,budget,revenue,rating,genres,overview,scraped_title
1327819,Hoppers,2026-03-04,105,150000000,97382739,7.732,"['Animation', 'Family', 'Science Fiction', 'Comedy']","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing ...",Hoppers
1159559,Scream 7,2026-02-25,114,45000000,152257701,5.9,"['Horror', 'Mystery', 'Crime']","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, he...",Scream 7
1316092,"""Wuthering Heights""",2026-02-11,136,80000000,213700000,6.387,"['Romance', 'Drama']","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family...",Wuthering Heights
1297842,GOAT,2026-02-11,100,90000000,147821701,7.5,"['Animation', 'Comedy', 'Family']","A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a hi...",GOAT
1198994,Send Help,2026-01-22,113,40000000,92304744,7.1,"['Horror', 'Thriller', 'Comedy']","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the isl...",Send Help
1291335,Solo Mio,2026-02-05,100,4000000,22322533,7.6,"['Romance', 'Comedy']",After Matt's dreams of a picturesque Italian wedding are shattered when his fiancée leaves him at th...,Solo Mio
1116201,Iron Lung,2026-01-30,125,3000000,50603970,7.2,"['Horror', 'Science Fiction', 'Mystery']",The stars are gone. The planets have disappeared. Only individuals aboard space stations or starship...,Iron Lung
1236153,Mercy,2026-01-20,99,60000000,54310041,7.089,"['Science Fiction', 'Action', 'Thriller']","In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes...",Mercy
83533,Avatar: Fire and Ash,2025-12-17,198,350000000,1482195377,7.265,"['Science Fiction', 'Adventure', 'Fantasy']","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and ...",Avatar: Fire and Ash
1084242,Zootopia 2,2025-11-26,108,150000000,1861044662,7.609,"['Animation', 'Comedy', 'Adventure', 'Family', 'Mystery']","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find th...",Zootopia 2
1272837,28 Years Later: The Bone Temple,2026-01-14,109,63000000,58586229,7.176,"['Horror', 'Thriller', 'Science Fiction']",Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the wo...,28 Years Later: The Bone Temple
